Index	 Precision	 Recall	 F1-score
691	 1.00	 1.00	 1.00
692	 1.00	 1.00	 1.00
693	 0.96	 0.92	 0.94
694	 1.00	 1.00	 1.00
695	 1.00	 1.00	 1.00
696	 0.96	 0.93	 0.95
697	 1.00	 1.00	 1.00
698	 1.00	 1.00	 1.00
699	 1.00	 1.00	 1.00
700	 1.00	 1.00	 1.00
701	 1.00	 1.00	 1.00
702	 0.94	 0.93	 0.93
703	 1.00	 1.00	 1.00
704	 1.00	 1.00	 1.00
705	 1.00	 1.00	 1.00
706	 1.00	 1.00	 1.00
707	 1.00	 1.00	 1.00
708	 0.98	 0.97	 0.98
709	 1.00	 1.00	 1.00
710	 1.00	 1.00	 1.00
711	 1.00	 1.00	 1.00
712	 1.00	 1.00	 1.00
713	 1.00	 1.00	 1.00
714	 1.00	 1.00	 1.00
715	 1.00	 1.00	 1.00
716	 1.00	 1.00	 1.00
717	 1.00	 1.00	 1.00
718	 1.00	 1.00	 1.00
719	 1.00	 1.00	 1.00
720	 1.00	 1.00	 1.00
721	 1.00	 1.00	 1.00
722	 1.00	 1.00	 1.00
723	 1.00	 1.00	 1.00
724	 1.00	 1.00	 1.00
725	 1.00	 1.00	 1.00
726	 1.00	 1.00	 1.00
727	 1.00	 1.00	 1.00
728	 1.00	 1.00	 1.00
729	 1.00	 1.00	 1.00
730	 1.00	 1.00	 1.00
731	 1.00	 1.00	 1.00
732	 1.00	 1.00	 1.00
733	 1.00	 1.00	 1.00
734	 1.00	 1.00	 1.00
735	 1.00	 1.00	 1.00
736	 1.00	 1.00	 1.00
737	 1.00	 1.00	 1.00
738	 1.00	 1.00	 1.00
739	 1.00	 1.00	 1.00
740	 1.00	 1.00	 1.00
741	 1.00	 1.00	 1.00
742	 0.96	 0.92	 0.94
743	 1.00	 1.00	 1.00
744	 1.00	 1.00	 1.00
745	 1.00	 1.00	 1.00
746	 0.97	 0.95	 0.96
747	 1.00	 1.00	 1.00
748	 1.00	 1.00	 1.00
